region,team name,player name,games,wins,win percentage,score,score per game,goals,goals per game,assists,assists per game,saves,saves per game,shots,shots per game,shots conceded,shots conceded per game,goals conceded,goals conceded per game,goals conceded while last defender,goals conceded while last defender per game,shooting percentage,bpm per game,avg boost amount per game,amount collected,amount collected per game,amount collected big pads,amount collected big pads per game,amount collected small pads,amount collected small pads per game,count collected big pads,count collected big pads per game,count collected small pads,count collected small pads per game,amount stolen,amount stolen per game,amount stolen big pads,amount stolen big pads per game,amount stolen small pads,amount stolen small pads per game,count stolen big pads,count stolen big pads per game,count stolen small pads,count stolen small pads per game,0 boost time,0 boost time per game,100 boost time,100 boost time per game,amount used while supersonic,amount used while supersonic per game,amount overfill total,amount overfill total per game,amount overfill stolen,amount overfill stolen per game,avg speed per game,total distance,total distance per game,time slow speed,time slow speed per game,time boost speed,time boost speed per game,time supersonic speed,time supersonic speed per game,time on ground,time on ground per game,time low in air,time low in air per game,time high in air,time high in air per game,time powerslide,time powerslide per game,avg powerslide time per game,count powerslide,count powerslide per game,time most back,time most back per game,time most forward,time most forward per game,time in front of ball,time in front of ball per game,time behind ball,time behind ball per game,time defensive half,time defensive half per game,time offensive half,time offensive half per game,time defensive third,time defensive third per game,time neutral third,time neutral third per game,time offensive third,time offensive third per game,avg distance to ball per game,avg distance to ball has possession per game,avg distance to ball no possession per game,demos inflicted,demos inflicted per game,demos taken,demos taken per game
North America,DARKZERO,Zineel,21,11,52.38,7406,352.67,15,0.71,8,0.38,34,1.62,55,2.62,176,8.38,41,1.95,15,0.71,27.27,423.47,48.11,53029,2525.19,38374,1827.33,14655,697.86,456,21.71,1228,58.48,10031,477.67,6122,291.52,3909,186.14,71,3.38,330,15.71,943.79,44.94,808.1,38.48,7291,347.19,7517,357.95,981,46.71,1554.91,11311567,538646.06,3342.4,159.16,2969.34,141.4,1339.3,63.78,3928.72,187.08,3092.18,147.25,630.13,30.01,117.44,5.59,0.13,919,43.76,2813.8,133.99,2270.8,108.13,2079.67,99.03,5571.37,265.3,4983.92,237.33,2667.13,127.01,3721.09,177.19,2392.8,113.94,1537.14,73.2,2858.24,2724.52,3000.97,13,0.62,18,0.86
North America,COMPLEXITY,ajg.,40,22,55,14033,350.83,32,0.8,18,0.45,49,1.23,116,2.9,294,7.35,68,1.7,25,0.62,27.59,381.14,51.91,96973,2424.32,68874,1721.85,28099,702.47,893,22.33,2506,62.65,23371,584.28,14141,353.52,9230,230.75,178,4.45,825,20.62,1320.3,33.01,2182.54,54.56,13757,343.92,20816,520.4,3741,93.53,1508.62,21685168,542129.19,7440.27,186.01,5340.18,133.5,2366.48,59.16,8699.99,217.5,5271.43,131.79,1175.57,29.39,342.65,8.57,0.12,2818,70.45,5204.3,130.11,4917,122.93,4156.7,103.92,10990.27,274.76,9472.56,236.81,5674.4,141.86,6907.29,172.68,5054.43,126.36,3185.21,79.63,2937.3,2884.57,2983.69,57,1.42,41,1.02
North America,LUMINOSITY,alraz,44,16,36.36,14035,318.98,26,0.59,12,0.27,63,1.43,95,2.16,386,8.77,91,2.07,30,0.68,27.37,403.46,49.73,108622,2468.68,76977,1749.48,31645,719.2,920,20.91,2740,62.27,22201,504.57,13446,305.59,8755,198.98,158,3.59,758,17.23,2101.71,47.77,1590.91,36.16,11990,272.5,15388,349.73,2370,53.86,1479.29,22873588,519854.28,8063.7,183.27,6183.09,140.52,1984.55,45.1,9352.46,212.56,5816.93,132.2,1061.93,24.13,336.19,7.64,0.11,2990,67.95,5742.4,130.51,4935,112.16,4269.33,97.03,11961.92,271.86,10747.27,244.26,5483.98,124.64,7864.86,178.75,5430.4,123.42,2936,66.73,2873.91,2801.35,2943.46,26,0.59,59,1.34
North America,SCUZZ ESPORTS,aris,20,9,45,8163,408.15,13,0.65,10,0.5,41,2.05,50,2.5,174,8.7,32,1.6,7,0.35,26,413.8,47.18,47749,2387.45,30110,1505.5,17639,881.95,351,17.55,1550,77.5,11590,579.5,6476,323.8,5114,255.7,70,3.5,449,22.45,838.71,41.94,785.64,39.28,7892,394.6,5701,285.05,631,31.55,1549.52,10120186,506009.31,3052.05,152.6,2741.03,137.05,1048.8,52.44,4033.94,201.7,2292.26,114.61,515.7,25.78,143.07,7.15,0.09,1522,76.1,2254.9,112.75,2227.1,111.35,2153.74,107.69,4688.14,234.41,4454.65,222.73,2387.21,119.36,3222.31,161.12,2225.15,111.26,1394.42,69.72,2755.94,2656.89,2844.73,25,1.25,17,0.85
North America,AKREW,astro,23,10,43.48,8454,367.57,9,0.39,10,0.43,55,2.39,42,1.83,210,9.13,42,1.83,10,0.43,21.43,400.5,46.76,54751,2380.48,36834,1601.48,17917,779,425,18.48,1516,65.91,11452,497.91,6494,282.35,4958,215.57,76,3.3,416,18.09,1185.57,51.55,821.76,35.73,6634,288.43,5885,255.87,1070,46.52,1482.74,11732325,510101.09,4091.57,177.89,3182.33,138.36,1020.33,44.36,4555.95,198.08,3198.21,139.05,540.06,23.48,210.96,9.17,0.13,1619,70.39,2865,124.57,2534.8,110.21,2241.92,97.47,6052.3,263.14,5531.04,240.48,2763.13,120.14,4094.97,178.04,2642.99,114.91,1556.28,67.66,2807.04,2734.44,2871.83,17,0.74,33,1.43
North America,AKREW,astroRL1010,13,6,46.15,4177,321.31,6,0.46,10,0.77,17,1.31,25,1.92,95,7.31,26,2,11,0.85,24,419.84,47.89,33410,2570,23303,1792.54,10107,777.46,262,20.15,865,66.54,7597,584.38,4571,351.62,3026,232.77,52,4,248,19.08,609.28,46.87,516.19,39.71,4075,313.46,3118,239.85,671,51.62,1516.62,6967792,535984,2290.13,176.16,1842.44,141.73,717.82,55.22,2646.55,203.58,1852.89,142.53,350.93,26.99,118.98,9.15,0.13,951,73.15,1730.3,133.1,1463.8,112.6,1301.51,100.12,3548.87,272.99,3154.06,242.62,1696.34,130.49,2284.66,175.74,1595.99,122.77,969.74,74.6,2913.74,2828.03,2978.03,11,0.85,18,1.38
North America,TEAM AXLE,ayjacks,56,27,48.21,20012,357.36,31,0.55,30,0.54,98,1.75,134,2.39,478,8.54,100,1.79,24,0.43,23.13,376.97,47.64,128366,2292.25,90055,1608.12,38311,684.12,1079,19.27,3166,56.54,32014,571.68,20698,369.61,11316,202.07,243,4.34,949,16.95,2463.74,44,2494.95,44.55,15007,267.98,17403,310.77,3553,63.45,1467.73,28938078,516751.41,10717.73,191.39,7349.65,131.24,2652.37,47.36,12270.59,219.12,7183.43,128.28,1265.64,22.6,365.4,6.52,0.12,2956,52.79,6981.7,124.67,7048,125.86,6362.49,113.62,14357.25,256.38,13552.25,242,7167.46,127.99,9716.52,173.51,7045.84,125.82,3957.34,70.67,2889.21,2782.86,2986.64,79,1.41,59,1.05
North America,FURIA,caard,69,35,50.72,25922,375.68,47,0.68,47,0.68,100,1.45,216,3.13,567,8.22,144,2.09,50,0.72,21.76,361.36,49.14,151608,2197.22,88765,1286.45,62843,910.77,1090,15.8,5482,79.45,33308,482.72,13686,198.35,19622,284.38,165,2.39,1692,24.52,2341.04,33.93,1903.77,27.59,17073,247.43,20949,303.61,2940,42.61,1523.7,36566892,529954.94,11826.65,171.4,9967.37,144.45,3589.43,52.02,14407.13,208.8,9295.51,134.72,1680.86,24.36,448.75,6.5,0.15,3133,45.41,8692,125.97,7765.1,112.54,6840.98,99.14,18542.56,268.73,16104.52,233.4,9278.99,134.48,11470.54,166.24,8741.68,126.69,5171.34,74.95,2758.11,2689.19,2821.44,50,0.72,86,1.25
North America,VERSION1,comm,40,22,55,12092,302.3,17,0.43,21,0.52,46,1.15,85,2.12,281,7.03,66,1.65,16,0.4,20,419.12,45.51,98049,2451.23,62928,1573.2,35121,878.03,744,18.6,3013,75.32,24609,615.22,13690,342.25,10919,272.98,163,4.07,937,23.42,1768.08,44.2,1161.65,29.04,22000,550,11555,288.88,2526,63.15,1528.19,21034116,525852.88,6716.54,167.91,5490.77,137.27,2239.65,55.99,8501.09,212.53,4963.93,124.1,981.93,24.55,305.97,7.65,0.1,3074,76.85,4080.2,102.01,5320,133,4399.9,110,10047.12,251.18,9089.9,227.25,5357.05,133.93,6501.52,162.54,4773.24,119.33,3172.21,79.31,2715.61,2594.2,2833.7,101,2.53,37,0.93
North America,LIL STEP BROS,"creamz,",15,5,33.33,5230,348.67,4,0.27,5,0.33,24,1.6,45,3,120,8,22,1.47,5,0.33,8.89,428.48,51.23,38873,2591.53,28260,1884,10613,707.53,346,23.07,912,60.8,7280,485.33,4408,293.87,2872,191.47,52,3.47,250,16.67,726.2,48.41,850.26,56.68,3761,250.73,6466,431.07,767,51.13,1555.53,8064441,537629.38,2295.4,153.03,2278.5,151.9,803.07,53.54,2918.18,194.55,2023.06,134.87,435.72,29.05,105.17,7.01,0.12,866,57.73,1903.8,126.92,1800.4,120.03,1454.19,96.95,3922.77,261.52,3574.07,238.27,1802.91,120.19,2612.29,174.15,1740.87,116.06,1023.79,68.25,2916.16,2740.04,3091.36,9,0.6,15,1
North America,COMPLEXITY,crr,40,22,55,16790,419.75,35,0.88,29,0.73,69,1.73,119,2.97,294,7.35,68,1.7,27,0.68,29.41,414.56,48.38,102534,2563.35,68688,1717.2,33846,846.15,841,21.02,2891,72.28,24892,622.3,14715,367.88,10177,254.43,169,4.22,856,21.4,1987.01,49.68,1591.49,39.79,14979,374.48,15888,397.2,2424,60.6,1581.15,22712728,567818.19,6519.9,163,6105.88,152.65,2510.85,62.77,8029.74,200.74,6035.14,150.88,1071.76,26.79,273.75,6.84,0.11,2459,61.47,4803.9,120.1,5109.4,127.74,4188.64,104.72,10947.99,273.7,9347.12,233.68,5789.54,144.74,6707.9,167.7,5165.01,129.13,3263.71,81.59,2762.28,2650.87,2870.87,46,1.15,42,1.05
North America,DIGNITAS,delta,36,16,44.44,13270,368.61,23,0.64,19,0.53,60,1.67,101,2.81,317,8.81,88,2.44,25,0.69,22.77,390.21,46.66,83460,2318.33,52171,1449.19,31289,869.14,602,16.72,2729,75.81,16861,468.36,9350,259.72,7511,208.64,105,2.92,654,18.17,1616.27,44.9,879.74,24.44,9478,263.28,7953,220.92,1209,33.58,1481.4,18406756,511298.78,6611.91,183.66,5077.68,141.05,1466.99,40.75,7586.74,210.74,4781.35,132.82,788.46,21.9,412.33,11.45,0.09,4325,120.14,4753.2,132.03,3774.7,104.85,3298.1,91.61,9858.47,273.85,9131.37,253.65,4025.21,111.81,6749.4,187.48,4332.95,120.36,2074.22,57.62,2962.41,2887.31,3026.01,30,0.83,31,0.86
North America,DIGNITAS,dreaz,36,16,44.44,12290,341.39,19,0.53,17,0.47,61,1.69,70,1.94,317,8.81,88,2.44,41,1.14,27.14,506.55,50.1,108310,3008.61,79514,2208.72,28796,799.89,951,26.42,2463,68.42,19427,539.64,11738,326.06,7689,213.58,135,3.75,661,18.36,1861.85,51.72,764.73,21.24,21524,597.89,14217,394.92,1789,49.69,1687.42,20909476,580818.75,4626.19,128.51,5149.45,143.04,3340.06,92.78,6572.02,182.56,5662.92,157.3,880.72,24.46,375.77,10.44,0.1,3895,108.19,4258.9,118.3,4243.5,117.87,3677.98,102.17,9437.73,262.16,8747.31,242.98,4368.38,121.34,6474.53,179.85,4247.15,117.98,2394.08,66.5,2855.73,2689.79,3001.75,30,0.83,44,1.22
North America,AKREW,gear,4,1,25,1772,443,4,1,1,0.25,11,2.75,9,2.25,48,12,16,4,6,1.5,44.44,424.91,44.36,9754,2438.5,6716,1679,3038,759.5,75,18.75,258,64.5,1956,489,1297,324.25,659,164.75,14,3.5,59,14.75,262.27,65.57,91.57,22.89,1931,482.75,720,180,100,25,1591.41,2113700,528425,624.63,156.16,476.2,119.05,336.13,84.03,769.25,192.31,591.49,147.87,76.2,19.05,22.49,5.62,0.09,241,60.25,492.8,123.2,428.6,107.15,397.54,99.38,1039.4,259.85,1032.61,258.15,404.33,101.08,785.19,196.3,423.72,105.93,228.05,57.01,2849.53,2872.32,2835.73,4,1,4,1
North America,TEAM AXLE,gimmick,56,27,48.21,20453,365.23,37,0.66,33,0.59,87,1.55,154,2.75,478,8.54,100,1.79,31,0.55,24.03,456.99,46,155094,2769.54,114732,2048.79,40362,720.75,1317,23.52,3475,62.05,34669,619.09,22014,393.11,12655,225.98,249,4.45,1080,19.29,4001.82,71.46,1306.62,23.33,25766,460.11,15695,280.27,2651,47.34,1592.09,31381884,560390.81,8626,154.04,8131.31,145.2,3938.54,70.33,10908.02,194.79,8494,151.68,1293.85,23.1,546.82,9.76,0.11,5013,89.52,6562.5,117.19,6869,122.66,6096.69,108.87,14599.12,260.7,13247.95,236.57,7447.8,133,9902.34,176.83,6279.13,112.13,4514.35,80.61,2717.5,2603.45,2820.33,72,1.29,56,1
North America,GHOST GAMING,hockser,35,13,37.14,13122,374.91,18,0.51,17,0.49,60,1.71,96,2.74,330,9.43,83,2.37,32,0.91,18.75,431.8,49.91,96370,2753.43,67470,1927.71,28900,825.71,794,22.69,2491,71.17,18620,532,10849,309.97,7771,222.03,126,3.6,670,19.14,1533.15,43.8,1270.45,36.3,13029,372.26,12175,347.86,1790,51.14,1531.98,19818008,566228.81,6222.54,177.79,5257.46,150.21,2145.36,61.3,7547.02,215.63,5238.57,149.67,839.77,23.99,313.4,8.95,0.09,3475,99.29,4799.5,137.13,4194.2,119.83,3754.39,107.27,9871.03,282.03,8943.85,255.54,4681.54,133.76,6704.8,191.57,4319.54,123.42,2601.07,74.32,2783.04,2733.13,2825.81,41,1.17,51,1.46
North America,NRG ESPORTS,justin.,48,26,54.17,18826,392.21,32,0.67,31,0.65,68,1.42,176,3.67,410,8.54,105,2.19,43,0.9,18.18,426.92,48.7,126930,2644.38,94675,1972.4,32255,671.98,1111,23.15,2795,58.23,25802,537.54,15858,330.38,9944,207.17,185,3.85,852,17.75,1854.94,38.64,2317.14,48.27,20031,417.31,17170,357.71,2536,52.83,1575.2,27102252,564630.25,7825.13,163.02,6872.65,143.18,3470.24,72.3,9753.74,203.2,6863.72,142.99,1550.49,32.3,389.7,8.12,0.08,4626,96.38,6003,125.06,5949.3,123.94,4694.36,97.8,13473.64,280.7,11579.71,241.24,6588.28,137.26,8648.73,180.18,5564.12,115.92,3955.13,82.4,2964.43,2792.07,3130.72,63,1.31,46,0.96
North America,FRAKTURE,kayex,11,2,18.18,3589,326.27,6,0.55,3,0.27,16,1.45,22,2,100,9.09,32,2.91,11,1,27.27,458.97,49.21,32297,2936.09,21940,1994.55,10357,941.55,261,23.73,881,80.09,9226,838.73,5666,515.09,3560,323.64,64,5.82,305,27.73,493.72,44.88,428.35,38.94,6197,563.36,4323,393,738,67.09,1546.01,6197349,563395.38,1944.58,176.78,1541.86,140.17,736.89,66.99,2519.97,229.09,1470.58,133.69,232.78,21.16,106.27,9.66,0.08,1284,116.73,1304.6,118.6,1440.3,130.94,1293.08,117.55,2930.23,266.38,2662.89,242.08,1560.45,141.86,1903.82,173.07,1405.32,127.76,914.21,83.11,2919.08,2856.79,2972.89,14,1.27,11,1
North America,REBELLION,memory,35,21,60,12197,348.49,20,0.57,10,0.29,52,1.49,104,2.97,273,7.8,52,1.49,17,0.49,19.23,415.22,49.13,84602,2417.2,56239,1606.83,28363,810.37,745,21.29,2401,68.6,22513,643.23,13160,376,9353,267.23,165,4.71,790,22.57,1206.63,34.48,1100.11,31.43,15186,433.89,18106,517.31,3293,94.09,1614.66,18993404,542668.69,4809.44,137.41,5357.69,153.08,2144.38,61.27,6932.9,198.08,4509.07,128.83,869.54,24.84,270.96,7.74,0.08,3266,93.31,4129.8,117.99,4065.1,116.15,3398.57,97.1,8912.91,254.65,7488.77,213.96,4822.72,137.79,5496.29,157.04,3881.96,110.91,2933.25,83.81,3018.7,2940.13,3074.97,59,1.69,53,1.51
North America,FAZE CLAN,mist,51,33,64.71,20528,402.51,40,0.78,37,0.73,97,1.9,144,2.82,399,7.82,90,1.76,41,0.8,27.78,433.22,49.88,132111,2590.41,98089,1923.31,34022,667.1,1220,23.92,2806,55.02,30222,592.59,20260,397.25,9962,195.33,248,4.86,798,15.65,2206.6,43.27,2123.15,41.63,20083,393.78,24311,476.69,4667,91.51,1619.49,28124860,551467.81,7294.61,143.03,7746.33,151.89,3364.37,65.97,10132.7,198.68,7107.07,139.35,1165.52,22.85,405.15,7.94,0.13,3213,63,7249.9,142.15,5093.6,99.87,4291.54,84.15,14113.76,276.74,12017.42,235.64,6387.71,125.25,8960.91,175.7,5808.45,113.89,3635.9,71.29,2949.94,2889.51,3014.72,77,1.51,50,0.98
North America,FURIA,mwShadow,1,1,100,0,0,0,0,0,0,0,0,0,0,6,6,1,1,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,7,7,4.07,4.07,0,0,0,0,4.07,4.07,0,0,0,0,0,0,0,0,0,4.1,4.1,0,0,0,0,4.07,4.07,4.07,4.07,0,0,4.07,4.07,0,0,0,0,8932,9578,6993,0,0,0,0
