region,team name,games,wins,win percentage,score per game,goals per game,assists per game,saves per game,shots per game,shots conceded per game,goals conceded per game,shooting percentage,bpm per game,avg boost amount per game,amount collected per game,amount collected big pads per game,amount collected small pads per game,count collected big pads per game,count collected small pads per game,amount stolen per game,amount stolen big pads per game,amount stolen small pads per game,count stolen big pads per game,count stolen small pads per game,0 boost time per game,100 boost time per game,amount used while supersonic per game,amount overfill total per game,amount overfill stolen per game,total distance per game,time slow speed per game,time boost speed per game,time supersonic speed per game,time on ground per game,time low in air per game,time high in air per game,time powerslide per game,count powerslide per game,time behind ball per game,time in front of ball per game,time defensive half per game,time offensive half per game,time defensive third per game,time neutral third per game,time offensive third per game,avg distance to ball per game,avg distance to ball has possession per game,avg distance to ball no possession per game,demos inflicted per game,demos taken per game
Europe,OLD FARTS,23,11,47.83,1181.74,2.22,2.04,4.48,9.13,8.39,2.17,24.29,1148.35,146.23,7237.09,4583.3,2653.78,57.61,224.83,1716,906.96,809.04,11.13,68.87,113.11,119.27,791.61,1173.96,198.83,1613771.62,536.67,452.34,137.64,648.11,406.35,72.19,38.41,326.39,801.24,325.41,717.35,409.3,521.89,363.92,240.83,8551.52,8241.83,8828.35,2.39,3.65
Europe,TEAM LIQUID,42,20,47.62,1081.81,1.83,1.45,4.64,9.05,8.19,2.05,20.26,1371.29,142.97,8265.57,5773.19,2492.38,67.48,213.1,1866.21,1114.17,752.05,12.79,64.33,152.59,105.16,1349.5,993.19,164.62,1695973.5,434.01,437.68,227.42,584.63,426.61,87.88,24.02,243.76,777.81,321.3,680.52,418.58,489.54,364.06,245.51,8594.52,8212.86,8959.48,2.24,3.67
Europe,WILLIAMS RESOLVE,47,21,44.68,1127.04,1.91,1.38,5.32,7.94,8.98,2.13,24.13,1273.34,142.29,7574.21,5147.28,2426.94,62.06,208.83,1655.6,952.64,702.96,11,59.64,138.88,100.07,1019.79,1073.23,149.98,1622546.88,456.58,441.2,184.18,584.71,424.37,72.88,30.27,295.19,781.71,300.25,711.05,370.91,520.08,350.19,211.69,8584.32,8297.38,8845.49,4.06,2
Europe,TEAM VITALITY,32,14,43.75,1054.81,1.75,1.38,4.66,8.75,7.91,2,20,1272.16,156.68,7736.03,5308.44,2427.59,66.62,209.88,2014.59,1185.41,829.19,14.12,70.78,108.35,141.37,1203.97,1406.62,245.81,1661956.5,446.9,443.51,200.43,617.33,401.24,72.26,21.77,178.5,800.89,289.95,660.94,429.89,471.38,364.38,255.08,8545,8186.41,8881.31,3.5,3
Europe,ENDPOINT CEX,23,10,43.48,1186.48,1.78,1.35,6.43,7.26,9.57,2.04,24.55,1202.87,146.99,7512.3,5216.17,2296.13,62.7,200.17,1663.83,1019.35,644.48,12,55.78,138.14,123.44,918.22,1085.57,189.35,1630120.88,527.65,440.7,159.69,641.49,409.69,76.87,21.61,212.87,823.1,304.94,764.01,364.03,561.91,361.98,204.15,8696.22,8431.78,8946.78,3.3,2.87
Europe,BS+COMPETITION,21,9,42.86,1111.24,2.05,1.57,4.62,9,8.9,2.71,22.75,1187.81,142.54,7270.76,5035.29,2235.48,59.71,190.71,1500.95,914.9,586.05,10.33,49.05,143.86,120.77,755.29,961.29,119.76,1595813,509,442.76,152.77,618.19,410.8,75.54,22.3,187,770.49,334.04,731.88,372.64,532.22,365.96,206.35,8879.43,8630.05,9111.76,2.86,2.52
Europe,GUILD ESPORTS,38,15,39.47,1106.79,1.92,1.5,5.13,8.11,8.24,2.05,23.7,1249.66,142.9,7435.13,5195.21,2239.92,62.26,192.82,1810.76,1101.18,709.58,12.87,59.5,137.18,113.6,971.5,1008.82,185.66,1536966.75,511.66,405.12,155.72,589.01,407.76,75.73,22.96,199.42,761.55,310.95,682.38,390.12,494.23,354.08,224.18,8516.47,8159.97,8858.16,3.66,3.16
Europe,GROS NOOBZ,16,6,37.5,1052.75,2,1.75,4.19,8.44,7.94,2.44,23.7,1193.44,147.13,6689.75,4655.38,2034.38,58.38,175.19,1503,902.81,600.19,11.06,50.94,99.18,116.09,956.25,1224.25,208.75,1482858.5,435.03,406.18,160.93,559.69,376.82,65.64,24.2,222.88,748.72,253.42,625.39,376.75,458.7,321.37,222.08,8813.25,8589.81,9012.69,3.06,3.06
Europe,HEET,33,12,36.36,1079.79,1.7,1.24,5.42,6.7,9.09,2,25.34,1198.15,153.62,6826.39,4593.94,2232.45,57.94,187.3,1510.94,906.82,604.12,11.03,51.27,99.21,127.06,884.03,1201.39,198.39,1484508.62,489.8,373.24,165.69,594.45,365.3,68.98,22.08,190.21,738.9,289.83,700.38,328.35,520.65,328.18,179.91,8567.94,8277,8837.73,5.36,2.36
Europe,ONE CHIP ARMY,14,4,28.57,955.14,1.21,0.86,4.71,6.36,7.93,2.14,19.1,1257.71,143.46,7504.5,4889.93,2614.57,59.21,224.64,1602.21,878.93,723.29,10.43,63.21,129.69,79.67,946.79,1057.29,162.79,1580493.75,503.4,427.65,155.75,621.81,400.87,64.12,34.41,295.79,764.82,321.98,722.83,363.97,529.36,360.15,197.3,8323.86,7911.21,8704.07,3.21,3.79
Europe,ZOOM ZOOM,12,3,25,1009.33,1.5,0.92,5.17,6.83,9.25,2.58,21.95,1197,141.44,7115.25,4843.58,2271.67,57.08,199.5,1613.08,984.67,628.42,12.08,55,130.39,89.06,870.83,843,213.58,1584208.5,497.76,418.81,166.8,581.88,427.74,73.73,26.86,252.5,755.8,327.57,699.32,384.04,510.9,352.42,220.04,8211.75,7812.5,8559.58,4.17,1.75
Europe,SK GAMING,11,2,18.18,1085.73,1,0.73,6.55,7,10.91,2.55,14.29,1242.45,144.15,7722.27,5289.55,2432.73,63.91,210.45,1767,1096.27,670.73,12.82,58.18,145.38,101.02,1144.55,1090.64,173.82,1689404.75,474.07,467.3,184.46,610.36,444.37,71.1,20.81,194.18,791.17,334.66,758.7,367.13,576.06,332.44,217.32,8557.82,8214.64,8862.73,4.36,3.73
